,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencyGlobal,qval
NFRKB,D1,0.39853747714808,0.118483412322275,0.320580474934037,2.34372352683563e-12
ZNF138,D1,0.380255941499086,0.109004739336493,0.304749340369393,5.20047850226387e-12
TBX2,D1,0.369287020109689,0.0995260663507109,0.294195250659631,3.11145691853658e-12
CPAMD8,D1,0.389396709323583,0.118483412322275,0.313984168865435,1.07225910479195e-11
CEP126,D1,0.478976234003656,0.170616113744076,0.393139841688654,3.38062278478145e-13
SEMA3A,D1,0.469835466179159,0.170616113744076,0.386543535620053,1.75479692639992e-12
CTSC,D1,0.530164533820841,0.180094786729858,0.432717678100264,1.77194101606345e-16
ZNF273,D1,0.345521023765996,0.0995260663507109,0.277044854881267,1.85754060180458e-10
SHISA2,D1,0.435100548446069,0.170616113744076,0.361477572559367,5.81100471940734e-10
HAS2,D1,0.363802559414991,0.123222748815166,0.296833773087071,2.3595537572246e-09
MAML2,D1,0.435100548446069,0.175355450236967,0.362796833773087,1.49475013355493e-09
FRRS1L,D1,0.382084095063985,0.14218009478673,0.315303430079156,7.33391832454059e-09
SEMA5A,D1,0.356489945155393,0.118483412322275,0.29023746701847,2.62173144796466e-09
CNTN5,D1,0.301645338208409,0.0521327014218009,0.232189973614776,5.87651348660218e-13
SPHK1,D1,0.321755027422303,0.0805687203791469,0.254617414248021,7.72159379522414e-11
RNASEH2B,D1,0.358318098720293,0.123222748815166,0.29287598944591,5.49706065827754e-09
AC006450.3,D1,0.431444241316271,0.180094786729858,0.361477572559367,6.55392889608512e-09
MGARP,D1,0.329067641681901,0.0947867298578199,0.263852242744063,8.63576116157396e-10
LINC00665,D1,0.411334552102377,0.180094786729858,0.346965699208443,1.24994808538702e-07
ZNF626,D1,0.307129798903108,0.0758293838862559,0.242744063324538,2.54540172777234e-10
ZNF253,D1,0.257769652650823,0,0.186015831134565,3.23548968322722e-20
MAN1A1,D1,0.389396709323583,0.170616113744076,0.328496042216359,5.15138910288057e-07
CYP1B1,D1,0.296160877513711,0.0663507109004739,0.232189973614776,1.2090552984197e-10
IAH1,D1,0.46617915904936,0.218009478672986,0.397097625329815,3.44743851876899e-08
EXD3,D1,0.424131627056673,0.203791469194313,0.362796833773087,1.12630465107687e-06
LAMP5,D1,0.427787934186472,0.208530805687204,0.366754617414248,1.42923029646275e-06
NAPRT,D1,0.277879341864717,0.0473933649289099,0.213720316622691,8.37923354201987e-12
HMX1,D2,0.440758293838863,0.0402193784277879,0.151715039577836,2.0870096925879e-34
LY6E,D2,0.289099526066351,0,0.0804749340369393,1.33700975165665e-33
LY6H,D2,0.279620853080569,0,0.0778364116094987,1.89476510936676e-32
PAK3,D2,0.597156398104265,0.191956124314442,0.304749340369393,1.21913654625762e-22
ARMCX1,D2,0.511848341232227,0.157221206581353,0.255936675461741,8.94540079872767e-19
CCS,D2,0.454976303317536,0.131627056672761,0.221635883905013,5.39284711674194e-17
TTR,D2,0.260663507109005,0.00182815356489945,0.0738786279683377,2.64534818176747e-28
PCSK1N,D2,0.696682464454976,0.255941499085923,0.378627968337731,4.41022302494954e-25
TMEM14A,D2,0.578199052132701,0.208409506398537,0.311345646437995,1.34270508362458e-18
SOX3,D2,0.431279620853081,0.124314442413163,0.20976253298153,7.21149421150502e-16
PTN,D2,0.445497630331754,0.135283363802559,0.221635883905013,1.16887923670005e-15
CNTNAP2,D2,0.345971563981043,0.0658135283363803,0.143799472295515,2.93497808013186e-17
DCX,D2,0.516587677725118,0.179159049360146,0.273087071240106,1.98509371044599e-16
MINCR,D2,0.241706161137441,0.00548446069469835,0.0712401055408971,1.84474554969518e-23
FGF13,D2,0.42654028436019,0.151736745886654,0.228232189973615,4.69497507539503e-12
SOX1,D2,0.265402843601896,0.0274223034734918,0.0936675461741425,8.60630240972868e-18
TCEAL2,D2,0.374407582938389,0.115173674588665,0.187335092348285,3.40472707512015e-12
PTPRN2,D2,0.289099526066351,0.0475319926873857,0.114775725593668,2.09614500775473e-15
BEX1,D2,0.71563981042654,0.307129798903108,0.420844327176781,4.20419935625228e-21
FSIP2,D2,0.355450236966825,0.106032906764168,0.175461741424802,8.27950822727766e-12
LMO3,D2,0.327014218009479,0.0840950639853748,0.151715039577836,2.04924172648806e-12
HLA-DMA,D2,0.260663507109005,0.0310786106032907,0.0949868073878628,2.51181206702385e-16
KIAA0408,D2,0.42654028436019,0.164533820840951,0.237467018469657,1.13084489845402e-10
SOX2-OT,D2,0.412322274881517,0.155393053016453,0.226912928759894,1.40711169223218e-10
PRELID3B,D2,0.398104265402844,0.146252285191956,0.216358839050132,1.71090466718627e-10
IDS,D2,0.563981042654028,0.255941499085923,0.341688654353562,2.33635363630378e-12
RTL8B,D2,0.431279620853081,0.175502742230347,0.246701846965699,5.25202091563447e-10
TMEM35A,D2,0.431279620853081,0.175502742230347,0.246701846965699,5.25202091563447e-10
SLC35F1,D2,0.355450236966825,0.117001828153565,0.183377308707124,1.71090466718627e-10
SLC6A8,D2,0.388625592417062,0.144424131627057,0.212401055408971,5.30199661662788e-10
FAM3A,D2,0.37914691943128,0.137111517367459,0.204485488126649,4.69693101958718e-10
POU3F2,D2,0.393364928909953,0.153564899451554,0.220316622691293,2.00796125215999e-09
GAP43,D2,0.398104265402844,0.159049360146252,0.225593667546174,3.00784437673137e-09
SCG3,D2,0.37914691943128,0.144424131627057,0.20976253298153,2.49758813404998e-09
APOOL,D2,0.540284360189573,0.255941499085923,0.33509234828496,1.36965296365674e-10
ELAVL3,D2,0.492890995260663,0.23217550274223,0.304749340369393,2.49758813404998e-09
SIPA1L2,D2,0.33175355450237,0.109689213893967,0.171503957783641,1.49251868334606e-09
ICK,D2,0.554502369668246,0.268738574040219,0.348284960422164,1.40711169223218e-10
CACNA1H,D2,0.203791469194313,0,0.0567282321899736,1.4532148578304e-22
LRCH2,D2,0.421800947867299,0.186471663619744,0.25197889182058,2.1501394949677e-08
KLHDC8A,D2,0.298578199052133,0.0840950639853748,0.143799472295515,3.82724022453047e-10
BEX5,D2,0.270142180094787,0.0585009140767824,0.117414248021108,1.44498833812021e-11
PLP1,D2,0.251184834123223,0.0420475319926874,0.100263852242744,8.26742289665657e-13
MECP2,D2,0.492890995260663,0.239488117001828,0.310026385224274,9.74423149010276e-09
CDKN2D,D2,0.459715639810427,0.217550274223035,0.284960422163588,2.52105239216917e-08
C1GALT1C1,D2,0.535545023696682,0.26691042047532,0.341688654353562,2.00576495779548e-09
RGMA,D2,0.345971563981043,0.129798903107861,0.189973614775726,1.85099036148574e-08
ZNF503,D2,0.341232227488152,0.126142595978062,0.186015831134565,1.72647959950444e-08
SETBP1,D2,0.350710900473934,0.135283363802559,0.195250659630607,2.87711815956641e-08
TCEAL1,D2,0.355450236966825,0.140767824497258,0.200527704485488,4.47338721983427e-08
